,text
0,"To get started in organizing in your own workplace, visit the link below to get connected with an organizer today. https://t.co/lrrpyKehJJ"
1,"LIVE: @amazonlabor leaders tell us how they won their organizing fight against Amazon, and how YOU can get organized in your own workplace. https://t.co/PufIexepGK"
2,"“Without the workers, there would be no Amazon.”

Amazon spent $4 million on union-busting efforts in Staten Island. They lost and @amazonlabor won an enormous victory — the first of many more to come. https://t.co/VNoI8Zxgho"
3,"The only way we win real gains for the working class is by rebuilding the trade union movement.

I look forward to joining @organizeworkers and @amazonlabor tonight at 8 PM ET to discuss how workers can organize. I hope you'll join us. https://t.co/FmoyLSnlgz"
4,"In state after state, Starbucks workers understand that YES, a corporation that can afford a 39% pay raise for its CEO can afford to treat its workers with dignity and respect.

Congratulations to Starbucks workers in Massachusetts on voting to unionize! https://t.co/6Zgc2Xh3nS"
5,"If Starbucks can afford to give its outgoing CEO Kevin Johnson a $60 million golden parachute on top of his 39% pay raise last year, you know what? It can afford to allow all of its workers to join a union free from fear, intimidation and coercion."
6,"RT @organizeworkers: Bernie Sanders. 

Chris Smalls. 

The Amazon Labor Union. 

And you. 

Learn how @amazonlabor took on Amazon and won,…"
7,"In the midst of the pandemic, the war in Ukraine, massive income and wealth inequality and the attacks on democracy, we cannot forget about the existential threat to our planet from climate change. The recent IPCC report was clear. We have to act boldly – and NOW."
8,THREE MORE enormous victories for @SBWorkersUnited! This movement of workers standing up and asserting their right to dignity and respect on the job has been an enormous inspiration to workers all across the country. Onward! https://t.co/qJYPQk17Jo
9,"For decades, the billionaire class and corporations have harnessed their power to enact a radical redistribution of wealth from the bottom 99% to the top 1%.

I think now is the time for radical action on behalf of the working class of this country."
10,"We need members of the Supreme Court who have a strong track record of standing up for justice – economic justice, racial justice, social justice, political justice, and environmental justice. There is no doubt Judge Jackson is that person. I was proud to vote to confirm her."
11,"Congratulations to the Starbucks workers in Buffalo, Rochester &amp; Brighton, New York for successfully voting to form unions in 3 more coffee shops. Starbucks workers have now won 13 of 14 union elections. I am so proud of what they are accomplishing. Keep up the great work!"
12,"Here is the bad news. You ready?

We have more income and wealth inequality today than at any time in American history. That's the bad news.

But here is the good news. Working people all across this country are getting organized and beginning to fight back. https://t.co/FGBxO1y3JL"
13,"President Biden is right. ""Amazon, here we come."" Let's get every Amazon worker in a union."
14,"Let me congratulate the @MITGradUnion on voting to form a union. All across the country, graduate student teachers are being ruthlessly exploited by very wealthy universities. I hope today's victory inspires a nationwide movement of workers on campuses fighting for better pay. https://t.co/gDW4PsolGB"
15,It is time to legalize marijuana nationwide and expunge past convictions. https://t.co/Ry0ncEbWBF
16,Cancel student debt. All of it.
17,"Amazon workers in Staten Island made history in organizing the first union in the company's history. Instead of continuing to pour millions of dollars into union-busting efforts, Amazon must recognize the union and negotiate with workers in good faith. https://t.co/GM9iJ90p5e"
18,CEOs at large corporations are paid 350x more than what their average worker makes. Is that the kind of economic reality we should accept? I don't think so.
19,"We must not forget that on the day he was assassinated Dr. King was in Memphis to march with sanitation workers who were being exploited, underpaid, and faced horrendous working conditions."
20,"The movement of unionization efforts sparked by @SBWorkersUnited in Starbucks stores across the country has been a great inspiration to me. I am honored to be joining them for a rally in just a few weeks in Richmond, Virginia.

I hope you'll join us. https://t.co/8JrXxr8iYz https://t.co/iRkmiotw9U"
21,"There is nothing radical about saying that the wealthiest people in this country ought to pay their fair share of taxes.

What's radical is Jeff Bezos making $142,667 every 60 seconds while more than half our people live paycheck to paycheck."
22,"Congratulations to New Mexico for becoming the first state in the nation to make all of its public colleges and universities tuition free regardless of income or immigration status. Now, it's time to make all public colleges and universities tuition free in America. https://t.co/dWnhjKCp8h"
23,It should not be a luxury in this country to keep teeth in your mouth. https://t.co/CVgYCHrGmT
24,Another HUGE victory! Workers at Starbucks have ignited a nationwide movement united in the struggle for dignity and respect on the job – and they’re winning. https://t.co/OtRhWosfr2
25,"As of today, the workers at Warrior Met have been on strike for one year while BlackRock, its largest shareholder with $10 trillion in assets, has sat on its hands and allowed the workers and their families to struggle. They can and they must intervene to meet workers' demands. https://t.co/jApAjjNJoU"
26,"For the very first time, workers at @amazonlabor were successful in organizing a union at an Amazon facility. I congratulate them on their extraordinary victory. I believe it's going to be a shot in the arm for this country's labor movement. https://t.co/9hr5Skaluq"
27,"Congratulations to @amazonlabor in Staten Island for their historic organizing victory. They took on one of the most powerful corporations in America, and showed that workers are sick and tired of being exploited while corporate profits soar."
28,"Are you ready for a radical idea? Instead of handing out a $10 billion bailout to Jeff Bezos worth $191 billion to fly to the moon, let's make it easier for workers to form a union. I stand in strong solidarity with Amazon workers in Staten Island &amp; Bessemer voting to unionize."
29,While 64% of Americans are living paycheck to paycheck. https://t.co/UADmRvIqul
30,"To my mind, if you're worth $180 BILLION, if you've got mansions and a superyacht, if your hobby is trying to go to the moon or Mars or wherever, you're doing pretty well for yourself — no, Mr. Bezos, you don't need $10 billion in corporate welfare to subsidize your space travel."
31,"MIT has an endowment of $27 BILLION — that's billion, with a 'B'. They should not be exploiting teachers who are interacting with thousands of their students and help make MIT the great university that it is.

I stand in solidarity with @MITGradUnion working to form a union. https://t.co/UCpi2HFLFV"
32,"In America today we spend far more, per capita, on health care than any other nation — almost $11,000 per person, while at the same time, some 60,000 Americans die each year because they lack insurance and are unable to get to a doctor on time. Yes, we need Medicare for All."
33,"I wanted to take a moment to tell you why now is the time to move toward Medicare for All. This will, no doubt, be a difficult struggle. But it is a struggle we will win. https://t.co/32K1VnhAIl"
34,"At a time when corporations are making obscene profits by charging outrageously high prices for gas, food, and rent, we need a windfall profits tax."
35,"Corporate greed is Netflix doubling its profit last year to a record $5.3 billion, avoiding over $1 billion in taxes &amp; blaming a 10.7% price increase on ""inflation"" squeezing $1.35 billion from its 75 million subscribers while its CEO became $200 million richer in the pandemic."
36,"Health care is a human right, not a privilege.  We must join every other major country in guaranteeing health care for every man, woman and child. We must pass Medicare for All."
37,"Profit Increase Last Year from Pre-Pandemic Levels:

ConocoPhillips:⬆️1,400% to $12.7 billion
Chevron:⬆️184% to $21.6 billion
Exxon Mobil:⬆️57% to $31.2 billion

Gas Price Increase from 2019:⬆️63% to $4.24

Please don't tell me that a windfall profits tax is radical."
38,"Jeff Bezos is worth about $180 billion. If he wants to go to the moon or to Mars, hey, that's his business — knock yourself out. But in my view, the taxpayers of this country do not need to subsidize his space travel."
39,There must be no ambiguity in acknowledging that what the whole world is seeing from Vladimir Putin’s war in Ukraine is nothing less than a blatant violation of international law and human decency. https://t.co/RokWTb6LzZ
40,Anybody who thinks we don't have an oligarchy right here in this country is sorely mistaken.
41,"I am pleased that the Canadian government, at the urging of @theJagmeetSingh and the @NDP, is moving toward universal dental care. That's the right thing to do, and exactly what we should be doing in the US. Health care is a human right, and dental care is part of health care. https://t.co/SruVytwoQ3"
42,"Lately when you turn on the news, you hear a lot about Russian oligarchs. I don't want to break the bad news to anybody here, but we've got a lot of oligarchy right here in America, too. https://t.co/SIdIPqfEZr"
43,"LIVE: What should the progressive response be to Russia’s war on Ukraine? Join @BLeeForCongress, @brhodes, @PeterBeinart and @MariaRepnikova as we discuss that question and more. 

https://t.co/a8QOWzG5US"
44,"LIVE: I’m with @BLeeforCongress, @PeterBeinart, @brhodes and @MariaRepnikova to discuss how we respond to Russia’s horrific war on Ukraine. Join us. https://t.co/a8QOWzGDKq"
45,I suspect you haven't heard much about the Competitiveness bill that's in the Senate right now. Here’s what you need to know: the taxpayers of this country should not be giving $53 billion to profitable microchip companies and $10 billion to Jeff Bezos to go to space. Period. https://t.co/2eriaC8oKw
46,"TONIGHT: Right now, we are in a global struggle between autocracy and democracy, with nothing less than the future of the planet at stake. Please join me, @BLeeForCongress, @PeterBeinart, @brhodes, and @MariaRepnikova for a town hall discussion this evening at 8 PM ET. https://t.co/5RKhq1Kgtc"
47,"I stand in solidarity with Maximus workers walking out of federal call centers across the country today. To my mind, we should not allow greedy corporations to privatize public services or profit from robbing workers of fair pay and benefits. https://t.co/xCpCxCvCdL"
48,We have never seen in this country the level of corporate greed that we are seeing right now.
49,The baseball oligarchs are far more concerned with increasing their wealth and profits than in strengthening our national pastime. We must prevent their greed from destroying the game. The best way to do that is to end Major League Baseball’s antitrust exemption. https://t.co/aLwS4WUuAf
50,"The richest in the world want more money for yachts and rockets to zoom around outer space, and that's called rational.

The rest of the population wants a roof over their heads, a decent wage, and a life of dignity, and that's called 'radical.'

Does that make any sense at all?"
51,"Join me and special guests @BLeeForCongress, @PeterBeinart and @brhodes this Wednesday at 8 PM ET for a town hall discussion about the progressive response on foreign policy and the war in Ukraine. https://t.co/P6y599D7fM"
52,"We need leaders who will come to Congress ready to fight — fight on behalf of the poor, fight on behalf of the working class, fight for Medicare for All, and fight for a Green New Deal. @SummerForPA will be that leader. https://t.co/Mxp6WV1rm1"
53,"Congratulations to the workers at Starbucks for your union organizing success. A union means not only better wages and working conditions, it means having some control over your job and not just being a cog in the machine. It means being more human."
54,"Corporate greed is Nike increasing its profit by 125% last year to $5.7 billion &amp; blaming ""inflation"" for a 10.5% price spike on a pair of expensive sneakers made by workers in Vietnam earning less than a buck an hour while Phil Knight became $26.7 billion richer in the pandemic."
55,"This is Russia's Oligarchy. In 2017, it was estimated Putin was worth some $200 billion. Last year, Russia’s 120 billionaires owned $588 billion in wealth, equal to 60% of the country’s household wealth. We must destroy global oligarchy and create an economy that works for all."
56,"Since it was announced that Howard Schultz (worth $4 billion) would be coming back as Starbucks CEO he has become $145 million richer – in just 2 days. It would take 4,600 years for the minimum wage worker at Starbucks to make that much money. Yes. Starbucks workers need a union."
57,"RT @SummerForPA: So proud to have @BernieSanders support in #PA12!

Together, we're building a movement that puts power back into the hands…"
58,"I am proud to endorse @SummerForPA for Congress. Summer is an experienced organizer, legislator, and a champion for Medicare for All, a $15 minimum wage, expanding voting rights, and a Green New Deal. I know she will continue to fight for those ideas when she's in the Congress. https://t.co/FokYMPrrH3"
59,"Over the past 5 days, the average wholesale gas price has gone DOWN by 21 cents a gallon and the price of oil has gone DOWN by over $15 a barrel.
 
Meanwhile, the average price of a gallon of gas at the pump has gone UP by 21 cents a gallon.
 
Yes. We need a windfall profits tax."
60,We need to end our dependence on fossil fuels.
61,"If you want to understand why the movement to organize unions at Starbucks is spreading like wildfire, look at how the company is treating workers demanding a voice on the job. Starbucks is not a poor company. It should stop retaliating and allow workers to organize. https://t.co/VCSLH1FXjV"
62,"Overall, women are paid just $0.73 for every $1 men are paid. Black women are paid $0.64. Latina and Native American women are paid $0.54. How insane is that?

It's 2022. Equal pay for equal work is not a radical idea — it's an issue of basic justice. #EqualPayDay"
63,"If every other major country on the planet can provide universal health care to all its people, why can't we?"
64,"It is insane that while MIT's endowment grew by over $9 BILLION in 2021, nearly 1 in 4 grad students struggle to keep up with cost of living. I say to MIT: invest in your students. I stand in solidarity with @MITGradUnion in their efforts to form a union."
65,"Amount of Medical Debt:

🇬🇧: $0

🇫🇷: $0

🇩🇪: $0

🇨🇦: $0

🇩🇰: $0

🇸🇪: $0

🇳🇴: $0

🇪🇸: $0

🇵🇹: $0

🇨🇷: $0

🇺🇸: $228,000,000,000

61% of Americans with medical debt have employer-provided health insurance.

#MedicareForAll"
66,"This is a broken health care system. While 23 million Americans owe $228 billion in medical debt, 178 CEOs of healthcare companies made $3.2 billion in compensation in 2020. UnitedHealth alone made a record $24 billion in profits last year. Yes. We need Medicare for All."
67,"Shocking. Gas prices are at the highest levels ever at the same time the big oil companies are raking in huge profits. Yes, the time is now for a windfall profits tax. https://t.co/6ObFF3jKFB"
68,"Starbucks claims to be a “progressive” company that values its “partners,” yet it's firing workers for ""the crime"" of being pro-union &amp; spending millions on a union busting law firm. I say to Starbucks: Stop the union busting. Stop the coercion. Treat your workers with respect."
69,The time is now to invest in public education. I am proud to stand with @MFT59 educators who are on strike for decent pay and better working conditions. https://t.co/M2rURKqDLY
70,"This is what oligarchy looks like: Today, the 10 richest people in the world own more wealth than the bottom 37% — 3.1 billion people. We need a national and global economy that works for all, not just the few. The struggle continues. https://t.co/77hO6flgkT"
71,"Starbucks workers have now voted to join unions 6 out of 7 times. Union elections will soon be held in over 120 more shops. The movement to unionize Starbucks is spreading like wildfire. Now, would be a very good time for Starbucks to end union busting &amp; embrace this movement."
72,A multi-billionaire with a superyacht should not pay less in taxes than a firefighter.
73,"I'm proud to endorse @JasmineForUS for Congress. Jasmine understands that we need progressives in Washington who will fight to make it easier to vote in this country, who will fight for the rights of workers, and who will fight for an economy that works for all of us. https://t.co/veaKIywiVj"
74,No one should have to ration their insulin in this country.
75,"In the midst of Putin's horrific invasion of Ukraine, I want to express my solidarity with the many thousands of Russians who are out on the streets protesting the war. In an authoritarian society, they are risking their freedom and lives. They are showing incredible courage."
76,"Global oligarchy is on the rise. Between 1995 and 2021, the top 1% captured 38% of the increase in global wealth, while the bottom 50% captured 2%. The share of wealth owned by the global top 0.1% rose from 7% to 11%. Children go hungry. Billionaires buy yachts. Not acceptable."
77,We have elections in this country which are dominated by big money and corporate interests. And whether or not our democracy survives depends on if we stand up together and put a stop to growing oligarchy. https://t.co/pgkgDk98eD
78,I have so much respect for the incredibly brave people in Russia who are risking so much by being out in the streets protesting what their corrupt president is doing. https://t.co/RKYWQqflld
79,"Worker productivity is up 62% since the 1970s, yet wages have barely budged in the same period — meanwhile, CEOs in this country have seen their pay explode by 1,322%.

Does anyone REALLY think CEOs are working 1,322% harder than they did in 1978?"
80,The 30 Major League Baseball owners are worth over $100 billion. The value of their teams increased by more than $41 billion since they bought them. Mr. Manfred: End the lockout. Negotiate in good faith. Don't let the greed of baseball owners take away our national past time.
81,"Congratulations to @GregCasar on winning your primary in TX-35! Greg will be a progressive force for the people, ready to fight for the needs of the working class. I'm looking forward to working with him in Congress. https://t.co/yEba8938Pg"
82,"Now, more than ever, those of us who believe in democracy and justice must work to bring working people all over the world together. Instead of hate &amp; divisiveness, let us take on the greed &amp; ideology of the top 1% and fight for economic, social &amp; environmental justice. (14/14)"
83,"None of these oligarchs should be allowed to park their yachts, fly their jets, sleep in their mansions, or stash their cash offshore during the war in Ukraine. But much more must be done to stop the movement to oligarchy not just in Russia, but all over the world. (13/14)"
84,6 Russian oligarchs and their families who hold $66.3 billion in wealth own 13 properties in New York worth $588 million including a 75-foot wide townhouse and an $88 million penthouse. (12/14) https://t.co/z6d5vWhYZI
85,"According to Bloomberg, “At least four [Russian-owned] super yachts remained anchored in Barcelona. Two were last parked along the Florida coast, in Miami and Palm Beach.” (11/14)"
86,"Alexey Mordashov, the third richest person in Russia worth $23 billion, owns a Bombardier Global 6000 private jet and a $500 million yacht that has been sailing in the Seychelles region for more than 10 days. (10/14)"
87,"Dmitry Mazepin, a Russian oligarch worth over $1.3 billion &amp; a former president of a major Russian gas company, owns a Gulfstream G650 private jet that recently flew over the New York area. Mazepin recently attended a meeting with Putin and a dozen other oligarchs. (9/14)"
88,"Alisher Usmanov, a Russian oligarch worth over $20 billion who owns Russia’s largest iron ore company, a telecommunications company and a newspaper in Russia, holds stakes in Airbnb, Spotify, Uber Technologies and was an early investor in Facebook. (8/14)"
89,"Roman Abramovich, a Russian oligarch worth $13 billion, owns the world's 2nd largest yacht worth $600 million with its own missile detection system. He owns the English football club Chelsea worth $2.1 billion, a $170 million mansion in the UK &amp; another yacht in Barcelona. (7/14)"
90,"While people in Ukraine and Russia suffer, Putin owns a 270-foot long super yacht that he took out of Germany before the invasion of Ukraine. Putin’s yacht is equipped with a gym, a saloon, a spa, a library &amp; a 49-foot indoor pool that can be converted into a dance floor. (6/14)"
