,text
0,"Since the invasion of Ukraine began, Vladimir Putin and his commanders have failed in their campaign to rapidly destroy a democratic nation.  

https://t.co/AaiwarEZ9I"
1,"They destroy conservative judges and expect us to just clap and vote ‘Yes.’

That's ridiculous, dangerous, and it's not going to happen. https://t.co/E0jumpwXO6"
2,"The game has changed.

Remember Amy Coney Barrett.

Remember Brett Kavanaugh.

I do. https://t.co/8l2fUvvnt6"
3,"My ‘no’ vote was based upon Judge Jackson’s record of judicial activism, flawed sentencing methodology regarding child pornography cases, and a belief that she will not be deterred by the plain meaning of the law when it comes to liberal causes."
4,"RT @thehill: .@LindseyGrahamSC: ""If we get in charge of the Senate in 2022, 2023 we have a majority, I can promise you nominees like Judge…"
5,"Speaking about my opposition to Judge Jackson for the Supreme Court.

WATCH:
https://t.co/8djhsJyoDu"
6,RT @SenateGOP: Tune in at 12:30pm ET as Senate Republicans discuss the upcoming vote to confirm Ketanji Brown Jackson to the United States…
7,RT @seanhannity: ‘SAME LEVEL OF SCRUTINY’: Watch Lindsey Graham Demand Bidens Get The Trump Treatment https://t.co/oLDEGDSPRc
8,"Hoping for a quick recovery. Get well soon! 
 
https://t.co/iHwwZJt09r"
9,Speaking with @jesseprimetime in just a few minutes. Tune in! #FoxNews https://t.co/6ssqzC8gTz
10,RT @jesseprimetime: TONIGHT: @LindseyGrahamSC joins @JesseBWatters - Don’t miss it. Tune in to #FoxNews https://t.co/LOEnnUr0kH
11,RT @BudgetGOP: Ranking Member @LindseyGrahamSC is giving his opening statement now.
12,"The #WarCrimes committed in #Bucha cannot be ignored by the freedom-loving world. 
 
Here are some ideas on how to hold Putin accountable. https://t.co/hqzS2ZitkH"
13,"While I have some foreign policy differences with @SenMikeLee, he is an outstanding conservative member of the U.S. Senate.  

The people of Utah are fortunate to have him as their senator! https://t.co/OnYe2gy6YO"
14,We're supposed to be like trained seals over here clapping when you appoint a liberal – that’s not going to work.
15,"When you [Democrats] had a chance to support an African American conservative [Janice Rogers Brown], you used her ideology against her. 

You blocked her from being considered by this committee. 

https://t.co/KiTJu00AVb"
16,"We live in an America today where your ideology is held against you if you're a conservative. 

When you're a liberal, we're supposed to embrace everything about you and not ask hard questions. 

That's not the world we're going to live in. 

https://t.co/IleoMZ3H6z"
17,"Now speaking at the the Senate Judiciary Committee business meeting on the nomination of Supreme Court Justice Ketanji Brown Jackson has started.  

WATCH:
https://t.co/QGNKUeeiTN"
18,"The Senate Judiciary Committee business meeting on the nomination of Supreme Court Justice Ketanji Brown Jackson has started.  

WATCH:
https://t.co/QGNKUeeiTN"
19,"Putin must LOSE. 

Ukrainians slaughtered by Putin’s forces must not die in vain."
20,"▶️  No excuses are acceptable for loopholes in sanctions against Putin’s war machine.  

▶️  No excuses are acceptable when it comes to justifications for not providing more offensive weapons like planes, tanks, and things like larger Switchblade drones."
21,"The war crimes being uncovered across Ukraine must be a turning point regarding Putin's Russia.  

Through these atrocities, Putin’s Russia is challenging everything the freedom-loving world believes in.  

https://t.co/PNMtCL63kY"
22,"Congratulations to @GamecockWBB and Coach @dawnstaley on bringing home another National Championship!  🏆

Focused. 
Disciplined. 
What an effort.
What a team! 

#Redemption #champions #WFinalFour"
23,"Speaking with @TGowdySC in just a few minutes about my opposition to the Supreme Court nominee, Judge Ketanji Brown Jackson. 

📍:  @FoxNews 
🕢: 7:45 pm"
24,"Our hearts go out to the Tanglewood Middle School family. 

We are praying for all those affected. https://t.co/NOA6gCxL6S"
25,"RT @thehill: Sen. Graham: ""Here's where we're at in 2022. The only person qualified to go to the Supreme Court as an African American woman…"
26,RT @ABCNews4: New: @LindseyGrahamSC has announced he will vote against the nomination of Judge Ketanji Brown Jackson to the Supreme Court o…
27,"RT @cspan: Sen. @LindseyGrahamSC: ""This morning I'm going to announce my decision on Judge Jackson's nomination to the Supreme Court. I wil…"
28,"RT @thehill: .@LindseyGrahamSC: ""After a thorough review of Judge Jackson's record and information gained at the hearing from an evasive wi…"
29,"After a thorough review of Judge Jackson's record and information gained at the hearing from an evasive witness, I now know why Judge Jackson was the favorite of the Radical Left."
30,"However, her record is overwhelming in its lack of a steady judicial philosophy and a tendency to achieve outcomes in spite of what the law requires or common sense would dictate."
31,"I find Judge Jackson to be a person of exceptionally good character, respected by her peers, and someone who has worked hard to achieve her current position."
32,"My decision is based upon her record of judicial activism, flawed sentencing methodology regarding child pornography cases, and a belief that Judge Jackson will not be deterred by the plain meaning of the law when it comes to liberal causes."
33,I oppose and will vote against the nomination of Judge Jackson to the Supreme Court.
34,"Now speaking on the Senate floor  on the nomination of Judge Ketanji Brown Jackson to serve on the United States Supreme Court 
  
WATCH:  https://t.co/IrtdGAkEpV"
35,"Speaking on the Senate floor  on the nomination of Judge Ketanji Brown Jackson to serve on the United States Supreme Court.  
  
⏰:  11:00 am
📍:  Senate Floor
📺:  https://t.co/IrtdGAkEpV"
36,"Speaking on the Senate floor today on the nomination of Judge Ketanji Brown Jackson to serve on the United States Supreme Court.  
  
⏰:  11:00 am
📍:  Senate Floor
📺:  https://t.co/1GF98rtq9a"
37,"Like most freedom-loving people in the world, I am in awe of the fight and determination shown by the Ukrainian people to protect their nation and stop Putin’s war machine.

https://t.co/3b3JCDLkL1"
38,"Stand with Ukraine, don't sell them out

https://t.co/3b3JCDLkL1"
39,Biden Administration immigration policies have been a disaster and they seem intent on making a bad problem even worse.
40,"▶️It takes off the table one of the most effective tools we have had to deter illegal immigration and help bring order to the chaos at the border.

▶️If you believe there is still a threat from COVID, it would be a complete disaster."
41,"If it is true that the Biden Administration is talking about repealing Title 42 authority to deport illegal immigrants due to COVID, it would be a nightmare on multiple levels. 

▶️It sends a signal encouraging even more illegal immigration, putting the problem on steroids."
42,"Just when you think we’ve reached the bottom on bad ideas from the Biden Administration….it appears they will now go even lower.
 
https://t.co/vP6jvthrST"
43,"RT @thehill: Sen. Lindsey Graham: ""The world is on fire. If you don't believe me, turn on your television. Inflation is rampant, and we're…"
44,RT @BudgetGOP: The world is on fire and the Biden Budget does not meet the moment. https://t.co/N5a1roZbLT
45,RT @BudgetGOP: The FY23 Biden Budget is more of the same. https://t.co/l3sqwWYjln
46,RT @BudgetGOP: 🚨Happening now: Ranking Member @LindseyGrahamSC gives his opening statement at the Senate Budget Committee hearing on the FY…
47,"RT @BudgetGOP: Today at 11:00am, Senate Budget Committee Republicans will press the Biden Administration on their fiscal year 2023 budget r…"
48,"When it comes a lifetime appointment to the Supreme Court, this is the least the White House, Chairman of the Senate Judiciary Committee, and nominee can do for the process."
49,"The fact that cases regarding child pornography sentencing were left off the list of child abuse cases provided to the Senate Judiciary Committee requires more scrutiny, not less. 

All Senators should have access to all relevant materials in a timely and appropriate fashion."
50,"The Senate should be provided all relevant information before voting on this nomination.  

https://t.co/KmfRvQXYtj"
51,"RT @DavidM_Friedman: Was honored to receive a visit today from Senator Lindsey Graham, one of America’s greatest advocates for a strong US-…"
52,"RT @DohaForum: Calling for the end of war and suffering, Hon. Senator Lindsey Graham, United States Senator, Ranking Member of the Senate C…"
53,"RT @QNAEnglish: HH the Amir met with HE Senator Lindsey Graham, member of the Senate of the US Congress. #QNA
#DohaForum
#TransformingForAN…"
54,RT @yzarka: Honored to have received Senator ⁦@LindseyGrahamSC⁩ for a meaningful and thorough discussion on how to deal with the Iranian nu…
55,"A month into this fight for freedom – where the Ukrainian people are fighting like tigers – President Biden has yet to embrace victory for Ukraine and has no coherent strategy to bring that about.
 
He is always playing catch-up and explaining what he will not do."
56,"President Biden’s press conference entered into the land of the surreal.
 
President Biden again stated that he never believed sanctions would deter Putin – contrary to what he was telling Congress, the American people, and the world."
57,"As Ukraine burns, President Biden is talking about Charlottesville and domestic politics. Very sad."
58,This lack of clarity by the President to Putin is making this conflict worse and incentivizes escalation in my view.
59,Does it mean that we are going to use chemical weapons against Russia if they use them? Or does it mean that we will consider that a provocation that would require a NATO no-fly zone over Ukraine?
60,As to the President’s response regarding Russia’s use of chemical weapons: I have no idea what an in-kind response means.
61,"There is so much more that we should be doing:
▶️ Give Ukraine all of the anti-ship missiles that they need.
▶️ Provide them with a more sophisticated anti-aircraft capability.
▶️ Urge our NATO partners to stop buying any oil and gas from Russia immediately."
62,With all due respect to President Biden: Unity in NATO does not matter while Ukraine is being destroyed.
63,With all due respect to President Biden:  Unity in NATO does not matter while Ukraine is being destroyed.
64,"❓

Have you ever heard the Biden Administration embrace the idea that Ukraine could win?"
65,"Speaking with @foxandfriends this morning in just a few minutes.

Tune in!"
66,"Speaking with @seanhannity in just a few minutes about the latest on #Ukraine.  

📍:  @FoxNews"
67,RT @seanhannity: BIDEN IN BRUSSELS: President Biden will meet with other NATO leaders in Brussels to discuss Russia’s invasion of Ukraine.…
68,"RT @newsmax: .@RepRalphNorman (R-SC) reacts to Sen. Lindsey Graham questioning SCOTUS nominee Ketanji Brown Jackson, on Wednesday's ""Wake U…"
69,"I had the pleasure of traveling with her and witnessed firsthand the respect people throughout the world had for Secretary Albright.
 
My prayers are with her family and friends as we remember and celebrate a life well lived."
70,"Very sad to hear of the passing of former Secretary of State Madeleine Albright.
 
She led an incredible, inspiring life and was one of the strongest voices on the world stage."
71,"RT @SBAList: Sen. @LindseyGrahamSC: Can an unborn child feel pain at 20 weeks?
 
KBJ: Senator I don't know
 
Graham: Are you aware that ane…"
72,RT @SBAList: Thank you Senator @LindseyGrahamSC for reminding Judge Ketanji Brown Jackson that unborn children can feel pain and routinely…
73,"RT @thehill: Sen. Lindsey Graham: ""Did you watch the Kavanaugh hearings? [...] He was ambushed. How would you feel if we did that to you?""…"
74,"Happening now…
 
WATCH: https://t.co/6wFw1vgJeL https://t.co/ILqCQCQjUb"
75,"I’m questioning Supreme Court nominee Judge Jackson now in the Senate Judiciary Committee. 

WATCH: https://t.co/6wFw1vgJeL"
76,"RT @FoxNews: Lindsey Graham: Ketanji Brown Jackson was top choice of 'every nutjob liberal group'

https://t.co/intsoTTR9S"
77,Speaking with @JudgeJeanine right now on @FoxNews.
78,RT @realDailyWire: ‘Could You Fairly Judge A Catholic?’ Lindsey Graham Reminds Biden Nominee Of Anti-Catholic Treatment In Amy Coney Barret…
79,"RT @newsmax: ""If a senator up here said your faith, 'the dogma lives loudly within you'... would you find that offensive? I would if I were…"
80,"RT @SenJudiciaryGOP: .@LindseyGrahamSC: “Every group that wants to pack the court, that believes this court is a bunch of right-wing nuts t…"
81,"Now questioning Judge Jackson in the Senate Judiciary Committee.

WATCH:
https://t.co/xJCv5ycKgX"
82,"@navalny If there is true justice in the world, Putin will soon be gone and people like Navalny will soon be free – both done at the hands of the Russian people."
83,"The Russian judicial system – which is a joke – just sentenced Russian opposition leader Alexei @navalny to an additional 9 years in jail.   

What was his crime?  

Having the guts to stand up to Putin and his brutal regime.  

https://t.co/JLUnCm7QwC"
84,"RT @seanhannity: OUT OF THE OVAL OFFICE: With war raging in Ukraine, Biden spent the weekend riding his bike on the beach. TONIGHT on “Hann…"
85,"RT @SenJudiciaryGOP: .@LindseyGrahamSC: “I want to know about your judicial philosophy, because people on the left, the far extreme part of…"
86,RT @theblaze: Lindsey Graham reminds Democrats of their hypocrisy on minority nominees during Ketanji Brown Jackson hearing https://t.co/TR…
87,"➡️  ICYMI ⬅️

Opening Statement In Senate Judiciary Committee Hearing On Supreme Court Nominee Judge Jackson

WATCH:
https://t.co/rjfk5uY3t5"
88,"RT @cspan: Sen. @LindseyGrahamSC to Judge Ketanji Brown Jackson: ""You will not be vilified. You will not be attacked for your religious vie…"
89,"Ukraine has asked for the ability to defend its skies and for more lethal drones — and the world does not respond. 
 
Why we do not provide more lethal drones, more advanced air defense systems, and support the transfer of MiG-29s is not only a mystery - it is shameful."
90,"When it comes to supplying Ukraine with aircraft and advanced air defense systems:

▶️  NATO is lacking.

▶️  United States is somewhat AWOL. 

▶️  Still no MiG-29s to bolster Ukraine’s air defense."
91,"To those carrying out these war crimes in Putin’s name - if you continue down this road you will regret it.  
 
Justice will be delivered, the sooner the better.  

God bless the Ukrainians."
92,"The destruction of Mariupol by Russian forces is one of the greatest war crimes in modern history and there must be accountability from top to bottom.  

https://t.co/VlU5WNKp76"
93,"He took great pride in his constituent service and working to improve the lives of Alaskans.

A large legacy for a giant man. 

Rest In Peace my friend."
94,"Very sad to hear of the passing of Representative Don Young, the longest-serving Member of the House of Representatives and a dear friend. 

Don was a larger-than-life character, an incredibly effective Member of Congress, and always had Alaska on his mind."
95,"RT @WFPChief: Many people would have starved, many nations would have destabilized, and millions would have migrated by necessity if it wer…"
96,"President Zelensky gave a great speech yesterday.
 
But what Putin fears is not a great speech – He fears the Javelins, the Stingers, and the MiGs. 
 
Best way to deal with Putin: punch him in the nose."
97,"The respect I have for her courage to speak out – at great personal risk – is boundless.  

God bless her and her efforts to chart a new course for Russia."
98,"In desperate and troubled times, real heroes emerge. 

Marina Ovsyannikova, the Russian journalist who spoke truth to power against Putin, is the type of person that changes the course of history.  

https://t.co/4NJyToum9L"
99,Great meeting with @WFPChief to discuss the work the @WFP is doing in Ukraine. https://t.co/odroYFDZmQ
100,"If Putin uses a tactical nuclear weapon in Ukraine, I would consider that a NATO Article 5 breach.  

Radiation would flow outside Ukraine and negatively impact the entire region, including NATO members.  

https://t.co/0XYmgAyq5r"
101,"I sense things are breaking in Russia.  

This was the statement of a desperate man."
102,"This is the speech of a loser.  

Putin is losing.

He would not be threatening his own people if they were with him.  

https://t.co/9VxB6VPd9q"
