,text
0,"@NetflixFilm and @UN hosted a conversation on #ClimateAction inspired by #DontLookUp. Some of the world's leading climate voices discuss the climate emergency, the need to #ActNow and what we can do. Full video: https://t.co/yEAdixuIGz"
1,".@GuardianUS @CAgovernor @GavinNewsom
https://t.co/uKiYn6B4PX"
2,Water-related catastrophes are a result of the ongoing climate crisis. Having a platform that helps take steps to prevent these events can be an invaluable tool. I’m excited to support the innovative work being done at @WeAreWaterplan as an investor. https://t.co/vKmqBnD2W9
3,"From @CFR_org: The Amazon plays a critical role in climate regulation. Often referred to as 'the lungs of the Earth,' it produces between 6 and 9% of the world’s total oxygen &amp; long functioned as a carbon sink, absorbing more carbon dioxide than it emitted.https://t.co/UKpcWZO3eG"
4,"A new study in the @FrontiersIn journal, reveals forests cool the planet more than experts thought, making the negative impact of deforestation even greater. 
Via @business: https://t.co/Mk1ZFt3SVz"
5,A newly discovered rocket frog from Ecuador already faces an uncertain future. Vote on the species name to stand in solidarity with the communities’ efforts to #SalvemosIntag. https://t.co/nKEnVOWjgn https://t.co/cl0NkqiVwy
6,"It’s time for people to feel good about their purchases and for businesses to meet that challenge. As a Strategic Advisor, I am excited to help https://t.co/QYageeQiHL supercharge these solutions and begin to reverse the climate emergency."
7,@NPR @UN: https://t.co/8SxRVbwIAU
8,"@newscientist: “Planting trillions of trees won’t replace the 10 million hectares of forest ecosystems lost each year, but documenting them could prevent further losses”
https://t.co/kM9ixnrmI9"
9,"Since October 2020, @NatGeo has documented a pattern of ReconAfrica breaking rules and ignoring environmental and community concerns in its quest for oil and gas in the #Okavango watershed. Now, it has uncovered even more about the company’s activities.

https://t.co/Iys7WUVVOC"
10,Coral scientist @ProfTerryHughes claims a 6th mass bleaching is unfolding across the #GreatBarrierReef. @UNESCO’s World Heritage Centre began a monitoring mission to assess if the reef should be added to the World Heritage In Danger list. #SaveOurOcean https://t.co/nx2AlhLViK
11,It’s great to see @TheSolutionsProject be recognized for their amazing work toward resolving the climate crisis. https://t.co/TR13HNjrSb
12,"Recent @IPCC_CH report tells a sobering truth: Nearly half of humanity is living in the danger zone now.

The facts are undeniable. We are living in a climate emergency, and we must take action to protect our planet. https://t.co/x3fnHZE7MP #IPCC @UN @antonioguterres https://t.co/pLWhp9ndAI"
13,".@CityNational’s parent company @RBC is violating the rights of indigenous Wet'suwet'en people &amp; bankrolling climate crisis.Join @Gidimten,@Indigenous_ca and 65+ stars to demand they divest from @CoastalGaslink &amp; its source,the tar sands: https://t.co/tbAVF3tM4V #NoMoreDirtyBanks"
14,"Today, our #JustLookUp coalition kicks off at 12:30pm, at Pershing Square in Los Angeles – be there to join the movement and march against fossil fuels.
@ghostpanther @standearth @ycstrikela @codepinkalert @ExtinctionR @xiuhtezcatl @bankonourfuture https://t.co/X4DZBPfBaf"
