,text
0,"When women and children thrive, communities and economies flourish. This message is at the heart of @theGFF's work, and I was delighted to join @AwaMCollSeck @MariamAbdou2 and @TheoSowa to discuss the GFF’s growing impact. https://t.co/jqWUmWn8lf"
1,"By building up care economies and cash transfer programs—and using data to track our progress—we can come back from the pandemic more prosperous, prepared, and equal than we entered it.

Thanks to @MasoodCGD, @JKlein46, and @ZShamsuna for such a thought-provoking talk at @CGDev. https://t.co/rh4GeEB4qd"
2,"As leaders come together for the @WorldBank spring meetings to address urgent challenges, they must not overlook informal women workers. These women can be the engine of our global recovery—and the backbone of a more #ResilientFuture. https://t.co/ohwfhrxUBc"
3,"Wishing hope, joy, and renewal to everyone celebrating today. Happy Easter!"
4,"When money flows into the hands of women, everything changes—families benefit, communities transform, and economies improve. By shattering this glass ceiling in venture capital, @SallieKrawcheck and the @Ellevest team are helping us all reach new heights. https://t.co/WPGZRY2iuQ"
5,"Thanks to @BrkThroughTech's new program for college students, more women are getting the training and mentorship they need to gain access to careers in AI. 

I can't wait to see how these students transform our future. https://t.co/6nI0Z3wADg https://t.co/tJf3reWgKI"
6,"Families keep telling us they can’t work without child care, especially women in countries hit hardest by COVID-19.

It’s encouraging to see some world leaders listening. Thank you @SvenjaSchulze68 and @BMZ_Bund for giving this topic a platform at @G7."
7,"Congratulations, Judge Jackson, on becoming Justice Jackson. You’ve said you stand on the shoulders of Constance Baker Motley, the first Black woman to serve as a federal judge. Now, future generations will stand on yours. https://t.co/gU0DvO0ALh"
8,"In my experience, the most important conversations happen at the dinner table, not in the board room.

Thank you @AnitaZaidi, @findingpneumo, @catherinenyamb1, @daktari1, for this meaningful conversation on pandemic-related inequities and how to end them. https://t.co/V2jWT3GQes"
9,"What if we could save 150,000 more lives globally? Kangaroo Mother Care, which encourages skin-to-skin contact between a mother and her newborn, could do exactly that.

Sometimes the most powerful public health interventions are the simplest.  https://t.co/vNe4HOiYfG"
10,"When it comes to contraception, everyone has different needs—and local family planning programs are often in the best position to meet them.

Excited to see @Amref_Kenya and @Pop_Council Nigeria lead @FP2030Global's new African hubs. https://t.co/VIbzrSNJnJ"
11,"As we celebrate #WHM, it’s easy to imagine moments like women’s suffrage or Title IX’s passage as foregone conclusions. But history didn’t just happen—people made it happen. 

I teamed up with @CBSMornings to highlight three leaders making history today: https://t.co/NmNTTlh8f4"
12,".@ava has powerful advice for young women who want to take a bold next step or start something new: “Begin. Don’t wait for permission to begin. Just begin.”

Watch our full conversation: https://t.co/YwgrEMrIPg"
13,"It's hard to be what you can't see.

I love this #WHM exhibit from @IfThenSheCan and @smithsonian, which honors modern-day women innovating in STEM. I hope it inspires young women everywhere to imagine themselves as the next trailblazers. https://t.co/DQpAsQSXo5"
14,RT @MSuzman: The @gatesfoundation is committed to eradicating preventable diseases like tuberculosis &amp; we know a fully funded @GlobalFund c…
15,Inspiring. https://t.co/eci2mI7wAE
16,"As a pioneering force behind the Moderna vaccine, @KizzyPhD is committed to fighting vaccine hesitancy—or as she likes to call it, “vaccine inquisitiveness.” She shared more about her approach during our @CBSMornings #WHM conversation. https://t.co/RZVlDinB7l https://t.co/7fZb2IqIRZ"
17,"Her work, leadership, and wisdom will echo for generations to come."
18,"The world lost one of its luminaries today. Madeleine Albright advanced our country’s highest ideals of freedom, democracy, and human dignity. As the first female U.S. Secretary of State, she never stopped inspiring women to use their voice."
