,text
0,"May this solemn day always renew our courage and strength to stand up for the universal right to life, dignity and peace – for every person, everywhere. Read my full statement here: https://t.co/ohmjR6zr19"
1,"In 2019, the Congress voted to recognize that the violence inflicted on the Armenian people constituted a genocide: a bold statement of America's commitment to human rights &amp; truth. Last year, @POTUS made history by echoing that powerful message from our nation’s highest office."
2,Armenian Genocide Remembrance Day shines a light on a monstrous truth while honoring those murdered and those who survived unspeakable horror.
3,"Today, the world solemnly marks 107 years since the Ottoman Empire began an inhuman campaign of mass murder and devastation: a genocide that stole the lives of 1.5 million Armenian men, women and children."
4,"May it be a comfort to his wife Elaine, their six beloved children and their many grandchildren and great-grandchildren that so many pray for them at this sad time."
5,"Congress and the Country join Utah in mourning the passing of former Senator Orrin Hatch.
 
The longest-serving Republican in the Senate's history, he devoted more than four decades to public service — often working across the aisle on behalf of America’s families."
6,"See what happened this week with my Medium post, ‘Madam Speaker.’
https://t.co/xsi0KsT1oc"
7,"With $17 billion for ports &amp; waterways in the Bipartisan Infrastructure Law, @HouseDemocrats &amp; @POTUS are ensuring goods are delivered quicker &amp; cheaper to families. 
 
And with the #AmericaCOMPETES Act, we will supercharge innovation &amp; make more critical goods here in America."
8,"Americans born today will live to see the next century.

This Earth Day, let us renew our resolve to secure for our children and grandchildren the bright future that they deserve.

Read my full statement on Earth Day here: https://t.co/ATepscIHee"
9,"And with our Bipartisan Infrastructure Law, the Democratic Congress took action to advance environmental justice for all — from getting the lead out of our children’s drinking water to cleaning up legacy pollution disproportionately harming communities of color."
10,"Now more than ever, we see the urgency and necessity of achieving energy independence through a clean energy future.

Democrats will not relent until we realize @POTUS’ ambitious vision of slashing carbon pollution in half by 2030 &amp; achieving a carbon neutral economy by 2050."
11,"For more than half a century, #EarthDay has offered an opportunity to recognize the beauty and fragility of our natural environment.

@POTUS and @HouseDemocrats are carrying on a proud American tradition of stewardship as we pursue a bold and essential environmental agenda. https://t.co/2dpyv1jHGX"
12,"We discussed how Congress, partnering with @POTUS, can continue to support Ukraine through security, economic &amp; humanitarian assistance. Today, &amp; every day, the Congress remains steadfast in our bipartisan, bicameral commitment Ukraine &amp; determination to hold Russia accountable. https://t.co/GOuMb2RC81"
13,"On behalf of the Congress, I expressed our immense admiration and respect for the courage of the Ukrainian people as they defend democracy in the face of Russia’s cruel aggression. https://t.co/LtGWUjJOsi"
14,"As Speaker, it was my official honor to welcome Prime Minister @Denys_Shmyhal of Ukraine to the United States Capitol today for a bilateral meeting. https://t.co/BSXyYx2SkD"
15,"Join me live as I welcome His Excellency @Denys_Shmyhal, Prime Minister of Ukraine, to the United States Capitol. https://t.co/xARR6twSCp"
16,"Democrats are laser-focused on lowering costs for families. That’s why we’re working to build an economy where small businesses can compete against big corporations, where goods can get to market faster and where American workers are making more products on our shores."
17,".@HouseDemocrats are passing legislation to lower costs for American families:

• Capping copays for insulin at $35 a month
• Securing deeply needed relief for restaurants &amp; other small businesses
• Making more goods here at home with #AmericaCOMPETES Act"
18,RT @HouseDPCC: House Democrats passed the #AffordableInsulinNow Act to lower the cost of insulin to $35/month and make skipping doses or ra…
19,"Join @BarbaraBoxer, Chancellor Carol T. Christ, @BerkeleyIGS directors @GCristinaMora &amp; Eric Schickler &amp; me @UCBerkeley for the annual Barbara Boxer Lecture Series to discuss threats to American democracy &amp; the role of women leaders at this historic time. https://t.co/025v6PpS5F"
20,"While the economy continues to grow at an unprecedented rate, @HouseDemocrats are focused on ensuring that the benefits are felt by small businesses, families &amp; consumers. That means lowering costs, supporting competition &amp; making more critical goods right here in America."
21,"From my family to yours, wishing you a Happy Easter! https://t.co/zFpalWkWQA"
