,text
0,"Three Vanderbilt professors, @KarlZelik, @sawernke and Ann Kaiser, have recently been named awardees of the Scaling Success Grant.

Learn more about the grant that supports faculty as they leverage their research into larger, more competitive awards.⬇️
https://t.co/o7eO8oL5hq"
1,"The effects of racism and sexism lead to higher maternal mortality rates among Black women in the U.S. than previously determined, according to Vanderbilt researchers.

Learn more about what this new data reveals. ⬇️
https://t.co/EN77FR0RCg"
2,"RT @SEC: ʙᴀᴄᴋ-ᴛᴏ-ʙᴀᴄᴋ 𝐒𝐄𝐂 𝐂𝐇𝐀𝐌𝐏𝐈𝐎𝐍𝐒 🏆

⚓️ @VandyMGolf 

#SECgolf x #SECChampionship https://t.co/GisiBlPNLm"
3,"ICYMI: This #EarthDay, learn about Vanderbilt's new climate studies major that integrates natural sciences, social sciences and humanities to give students a comprehensive perspective on climate change, its challenges and possible solutions.

Learn more: https://t.co/Xak3F6pOH4 https://t.co/YaPu433WkX"
4,"RT @VU_Chancellor: ""Yesterday, the Vanderbilt community stood together to give back to the university we love. The thousands of gifts made…"
5,"RT @VanderbiltAlum: What a difference a day can make! This Giving Day, more than 5,800 members of the VU community donated more than $4.7 m…"
6,Experts discussed realistic ways to move the needle on environmental issues and the keys to compromise and action on climate change during a recent discussion hosted by @VandyUnity. https://t.co/YfWqCQmgUy
7,"A bold partnership that will help Vanderbilt power its campus entirely through renewable energy is a step closer to that goal with the recent groundbreaking for a solar farm in Bedford County, Tennessee. https://t.co/vctZ2sweP3"
8,"Vanderbilt alum Matt Kisber, BA’82, is pouring his energy into solar power after launching @SiliconRanchCo.

The company, which employs several Vanderbilt alumni, develops, owns and operates solar energy plants across the U.S. https://t.co/BNlex9uZwT"
9,"Vanderbilt students took their research to an immersive level by traveling to Colorado as part of a new class about glacial geology.

The trip aimed to show students the movement of glaciers, ultimately giving clues about the impact of climate change. https://t.co/S44ZpX8hmd"
10,"On #EarthDay, learn how members across the Vanderbilt community are making a positive impact on the environment.

🧵⬇️"
11,"RT @VanderbiltAlum: There is still time to make a gift this Giving Day!

Gifts of all sizes combine to support the scholarships, innovation…"
12,"RT @VandyVolleyball: Today is Giving Day! Support Vanderbilt volleyball and make a gift to our excellence fund! 

⚓️ https://t.co/MksEhKS4q…"
13,"RT @Coach_Lea: Leave your mark and donate today‼️

#VU4Life | #VandyUnited 

🔗: https://t.co/eHAhvOFLFU https://t.co/9XI2oEbsEJ"
14,"Cheers! Give between 4 and 6 p.m. CT today to be entered in a random drawing to earn a $1,000 bonus for the area of your choice: https://t.co/rm1o8nJCfJ https://t.co/gNSTQIigSl"
15,"RT @VU_Chancellor: Chancellor Daniel Diermeier will match all gifts made to the university from 2 to 3 p.m. CT, up to $5,000. The match wil…"
16,"RT @VU_Provost: In honor of Giving Day, I’ll be matching all gifts made from 3 to 4 p.m. CT, up to $5,000. The match will support Opportuni…"
17,"RT @vucommodores: Support the future of Vanderbilt Athletics by making a gift to the #VandyUnited campaign on Giving Day!

⚓️ https://t.co/…"
18,"RT @vupeabody: Giving Day has arrived! A donation of any size today helps us strengthen our research opportunities, such as the recently an…"
19,RT @VanderbiltNurse: We're excited it's Vanderbilt Giving Day! A gift of any size makes a difference. Visit us in the VUSN Colleen Conway-W…
20,RT @VUEngineering: Today is Vanderbilt Giving Day! Giving Day supports transformative education and path breaking research. There are multi…
21,"RT @VandyNCC: Today is the day - support @vucommodores student-athletes, coaches &amp; staff by making your gift ➡️ https://t.co/xBr8NqeUKs 
#V…"
22,"RT @VU_Chancellor: Today you are invited to participate in Vanderbilt Giving Day, a 24-hour call for everyone in our community to stand tog…"
23,"RT @VanderbiltAlum: Ready, set, give! Vanderbilt Giving Day officially starts now.

Show your Commodore pride by making a gift to support t…"
24,"I Am Vanderbilt celebrates the talents and contributions that the people of VU bring to work each day.

As director of Employee Learning and Engagement, Krystal Clark seeks to make VU a better workplace for university faculty and staff.

Learn more ⬇️https://t.co/E4hpfo5WQ6"
25,"Vanderbilt faculty and other experts in higher education and public policy explore universities’ responsibilities, impact and potential to catalyze progress in our global society.

Watch the discussion, which was part of @vu_chancellor’s investiture. ⬇️
https://t.co/IcN2YYWieF"
26,"Professor of French, European studies, Jewish studies and law @robertbarsky is among an accomplished group of 180 artists, writers, scholars and scientists awarded a 2022 John Simon Guggenheim Memorial Foundation Fellowship by @GuggFellows.  https://t.co/KsyWDoCCkn"
27,RT @VU_Chancellor: Chancellor Daniel Diermeier and the Faculty Senate will celebrate Vanderbilt’s faculty by presenting many of the univers…
28,"RT @VanderbiltAlum: Giving Day is almost here!

On April 21, join us in standing together with all who believe in Vanderbilt by giving a gi…"
29,"VU and Nashville are poised to lead the region in building a global hub of innovation and entrepreneurship, according to panelists at the “Tennessee: Engine of Innovation” symposium.

Watch the discussion, which was part of @vu_chancellor’s investiture. ⬇️
https://t.co/KTZfiVhesa"
30,"Do warehouse clubs like Sam’s Club, Costo and BJ’s really save you money?

Hear from @ProfGoldsmith of @VanderbiltOwen on the pros and cons of warehouse clubs and what to know before you join, via @KXLF. ⬇️
https://t.co/BYms72c5RG"
31,"From the @NashvilleZoo to the Parthenon at Centennial Park, the @BlairSchool is revolutionizing the experience of classical music by taking it out to unexpected places.

Learn how these performances are fostering stronger ties in the community: https://t.co/vM1ya5Yd4B https://t.co/0EUnIRXRcz"
32,"RT @VU_Chancellor: ""Today's announcement of volleyball as our 17th varsity sport serves as further proof that we are writing a new chapter…"
33,"RT @VandyVolleyball: Volleyball is coming back to Vanderbilt!

📰 https://t.co/d6nMH9RXUS

#AnchorDown https://t.co/eVoalgxUNV"
34,"RT @VandyVolleyball: 👀🤔🏐

#AnchorDown https://t.co/Og6zSyz0wo"
35,"Vanderbilt researchers recently led an international collaboration that revealed how the human brain evolved to harness abstract thought.

Read more about their findings and how it changes the way we think about brain networks. ⬇️
https://t.co/kzP2TqYMGF"
36,"RT @VanderbiltAlum: On April 21, join thousands in standing together to support the scholarships, athletics programs, student organizations…"
37,"RT @VandyUnity: Our upcoming @VandyUnity panel, ft. @NoamLupu, Josh Clinton &amp; @UChicago's Susan Stokes, will explore the tactics and condit…"
38,RT @vandypb: @vanderbiltu Do you have your Rites of Spring Music Festival tickets for next weekend? Tickets are going fast so don't miss ou…
39,RT @vucommodores: We’ve unveiled detailed plans for the @VandyMBB and @VandyWBB operations center and practice facility as part of our #Van…
40,"RT @VanderbiltAlum: As @VandyFootball prepares for its spring game, alum @Coach_Lea talks about the support of the Vanderbilt alumni commun…"
41,"RT @VanderbiltAlum: Ahead of @VandyFootball’s spring game, alum @Coach_Lea shares how the critical thinking skills and professionalism he d…"
42,"RT @vucommodores: See you soon, Commodore fans‼️

#AnchorDown https://t.co/qrFto5yPuk"
43,"RT @VU_Chancellor: ""@VandyBowling continues to set a standard of excellence that makes competing for championships a familiar feature of th…"
44,"RT @SouthlandBowl: 𝓢𝓣𝓘𝓛𝓛 𝓓𝓐𝓝𝓒𝓘𝓝' 💃💃💃

@VandyBowling takes down FDU 2⃣-1⃣ after two modified Baker tiebreakers‼️⚓️💪

#AnchorDown | #SBL | #N…"
45,"Meet the K-9 teams of VUPS: Formed in 2007, the K-9 program of the Vanderbilt Police Department has worked to make campus a safer, healthier and more welcoming environment.

Learn more about these incredible pups and their handlers ⬇️ https://t.co/VyUEkZ0AIh"
46,"RT @VU_Chancellor: “For employers—and for society at large—the benefits of the perspectives, skillsets and character offered by the members…"
47,"I Am Vanderbilt celebrates the talents and contributions that the people of VU bring to work each day.

Learn how Brandon Hulette, a longtime U.S. Army reservist, brings a unique, multidisciplinary perspective to his role as a VU Army ROTC instructor ⬇️ https://t.co/44YMgh2djV"
48,"RT @VandyAD: I'm so proud of Cailin for having the courage to share her story. And I absolutely agree with that her that ""it is on all of u…"
49,"RT @vucommodores: Join us April 15-17 for Black and Gold Weekend!

Festivities include ⤵️

🏈 Spring football
⚾️ Baseball
🥍 Lacrosse
🎾 Tenni…"
50,"Two @VanderbiltOwen graduate students won first place at the 2022 SEC Student Pitch Competition for their start up, ESG Impact.

Read more about ESGi’s co-founders Max Mona and Adam Jace and how their project has roots at @theWondry.⬇️
https://t.co/xmI1V6s24L"
51,"The Rev. James Lawson returned to Vanderbilt for the April 7 launch of an institute that carries forward his commitment to achieving justice and equality through nonviolent movements and strategies.

Learn more: https://t.co/8tlCVQDXqo https://t.co/jObb9PW6CQ"
52,".@Radiolab founder @JadAbumrad, a public radio icon and podcast pioneer, will join Vanderbilt to lead and advise on several areas of work, including the launch of a new podcast institute.

Learn more ⬇️ https://t.co/2hPGVxilrY"
53,"RT @VandyUnity: We are excited to launch the Vanderbilt Unity Index, a new data-focused effort to quantify “unity"" in American democracy. L…"
54,".@VU_Chancellor Daniel Diermeier was installed on April 9 as Vanderbilt’s ninth chancellor. Watch highlights from the investiture ceremony which is one of the oldest traditions in academia. 

Read more about the ceremony: https://t.co/fF9sGmi4Jw https://t.co/qtETMLXZO6"
55,"RT @VanderbiltAlum: Save the date: Vanderbilt’s sixth annual Giving Day is April 21.

On Giving Day, the VU community stands together to su…"
56,"RT @Fly_Nashville: Our lights shine black and gold ⚫️🟡, as we celebrate a new era of leadership at
Vanderbilt University (@VanderbiltU) #BN…"
57,"RT @TheSECU: Two graduate students from @VanderbiltOwen win 2022 @SEC Student Pitch Competition! Here’s the story. ⬇️

https://t.co/EEBUYuU…"
58,"RT @VandyBowling: Starting the week as Regional champs. 😎

#AnchorDown https://t.co/RI9Gt8QWVw"
